DATE,CPI
7/1/2016,106.2
8/1/2016,106.2
9/1/2016,106.2
10/1/2016,106.2
11/1/2016,106.3
12/1/2016,106.3
13/1/2016,106.3
14/1/2016,106.3
15/1/2016,106.3
16/1/2016,106.3
17/1/2016,106.3
18/1/2016,106.3
19/1/2016,106.3
20/1/2016,106.3
21/1/2016,106.3
22/1/2016,106.3
23/1/2016,106.3
24/1/2016,106.3
25/1/2016,106.3
26/1/2016,106.3
27/1/2016,106.3
28/1/2016,106.4
29/1/2016,106.4
30/1/2016,106.4
31/1/2016,106.4
1/2/2016,106.4
2/2/2016,106.4
3/2/2016,106.4
4/2/2016,106.4
5/2/2016,106.4
6/2/2016,106.4
7/2/2016,106.4
8/2/2016,106.4
9/2/2016,106.4
10/2/2016,106.4
11/2/2016,106.4
12/2/2016,106.4
13/2/2016,106.4
14/2/2016,106.4
15/2/2016,106.5
16/2/2016,106.5
17/2/2016,106.5
18/2/2016,106.5
19/2/2016,106.5
20/2/2016,106.5
21/2/2016,106.5
22/2/2016,106.5
23/2/2016,106.5
24/2/2016,106.5
25/2/2016,106.5
26/2/2016,106.5
27/2/2016,106.5
28/2/2016,106.5
29/2/2016,106.5
1/3/2016,106.5
2/3/2016,106.5
3/3/2016,106.6
4/3/2016,106.6
5/3/2016,106.6
6/3/2016,106.6
7/3/2016,106.6
8/3/2016,106.6
9/3/2016,106.6
10/3/2016,106.6
11/3/2016,106.6
12/3/2016,106.6
13/3/2016,106.6
14/3/2016,106.6
15/3/2016,106.6
16/3/2016,106.6
17/3/2016,106.6
18/3/2016,106.6
19/3/2016,106.6
20/3/2016,106.7
21/3/2016,106.7
22/3/2016,106.7
23/3/2016,106.7
24/3/2016,106.7
25/3/2016,106.7
26/3/2016,106.7
27/3/2016,106.7
28/3/2016,106.7
29/3/2016,106.7
30/3/2016,106.7
31/3/2016,106.7
1/4/2016,106.7
2/4/2016,106.7
3/4/2016,106.7
4/4/2016,106.7
5/4/2016,106.7
6/4/2016,106.8
7/4/2016,106.8
8/4/2016,106.8
9/4/2016,106.8
10/4/2016,106.8
11/4/2016,106.8
12/4/2016,106.8
13/4/2016,106.8
14/4/2016,106.8
15/4/2016,106.8
16/4/2016,106.8
17/4/2016,106.8
18/4/2016,106.8
19/4/2016,106.8
20/4/2016,106.8
21/4/2016,106.8
22/4/2016,106.8
23/4/2016,106.8
24/4/2016,106.9
25/4/2016,106.9
26/4/2016,106.9
27/4/2016,106.9
28/4/2016,106.9
29/4/2016,106.9
30/4/2016,106.9
1/5/2016,106.9
2/5/2016,106.9
3/5/2016,106.9
4/5/2016,106.9
5/5/2016,106.9
6/5/2016,106.9
7/5/2016,106.9
8/5/2016,106.9
9/5/2016,106.9
10/5/2016,106.9
11/5/2016,107
12/5/2016,107
13/5/2016,107
14/5/2016,107
15/5/2016,107
16/5/2016,107
17/5/2016,107
18/5/2016,107
19/5/2016,107
20/5/2016,107
21/5/2016,107
22/5/2016,107
23/5/2016,107
24/5/2016,107
25/5/2016,107
26/5/2016,107
27/5/2016,107
28/5/2016,107.1
29/5/2016,107.1
30/5/2016,107.1
31/5/2016,107.1
1/6/2016,107.1
2/6/2016,107.1
3/6/2016,107.1
4/6/2016,107.1
5/6/2016,107.1
6/6/2016,107.1
7/6/2016,107.1
8/6/2016,107.1
9/6/2016,107.1
10/6/2016,107.1
11/6/2016,107.1
12/6/2016,107.1
13/6/2016,107.1
14/6/2016,107.2
15/6/2016,107.2
16/6/2016,107.2
17/6/2016,107.2
18/6/2016,107.2
19/6/2016,107.2
20/6/2016,107.2
21/6/2016,107.2
22/6/2016,107.2
23/6/2016,107.2
24/6/2016,107.2
25/6/2016,107.2
26/6/2016,107.2
27/6/2016,107.2
28/6/2016,107.2
29/6/2016,107.2
30/6/2016,107.2
1/7/2016,107.3
2/7/2016,107.3
3/7/2016,107.3
4/7/2016,107.3
5/7/2016,107.3
6/7/2016,107.3
7/7/2016,107.3
8/7/2016,107.3
9/7/2016,107.3
10/7/2016,107.3
11/7/2016,107.3
12/7/2016,107.3
13/7/2016,107.3
14/7/2016,107.3
15/7/2016,107.3
16/7/2016,107.3
17/7/2016,107.3
18/7/2016,107.3
19/7/2016,107.4
20/7/2016,107.4
21/7/2016,107.4
22/7/2016,107.4
23/7/2016,107.4
24/7/2016,107.4
25/7/2016,107.4
26/7/2016,107.4
27/7/2016,107.4
28/7/2016,107.4
29/7/2016,107.4
30/7/2016,107.4
31/7/2016,107.4
1/8/2016,107.4
2/8/2016,107.4
3/8/2016,107.4
4/8/2016,107.4
5/8/2016,107.5
6/8/2016,107.5
7/8/2016,107.5
8/8/2016,107.5
9/8/2016,107.5
10/8/2016,107.5
11/8/2016,107.5
12/8/2016,107.5
13/8/2016,107.5
14/8/2016,107.5
15/8/2016,107.5
16/8/2016,107.5
17/8/2016,107.5
18/8/2016,107.5
19/8/2016,107.5
20/8/2016,107.5
21/8/2016,107.5
22/8/2016,107.6
23/8/2016,107.6
24/8/2016,107.6
25/8/2016,107.6
26/8/2016,107.6
27/8/2016,107.6
28/8/2016,107.6
29/8/2016,107.6
30/8/2016,107.6
31/8/2016,107.6
1/9/2016,107.6
2/9/2016,107.6
3/9/2016,107.6
4/9/2016,107.6
5/9/2016,107.6
6/9/2016,107.6
7/9/2016,107.6
8/9/2016,107.7
9/9/2016,107.7
10/9/2016,107.7
11/9/2016,107.7
12/9/2016,107.7
13/9/2016,107.7
14/9/2016,107.7
15/9/2016,107.7
16/9/2016,107.7
17/9/2016,107.7
18/9/2016,107.7
19/9/2016,107.7
20/9/2016,107.7
21/9/2016,107.7
22/9/2016,107.7
